,Articles,Cosine similarity,url
74,BiondVax,0.009594595,https://en.wikipedia.org/wiki/BiondVax
75,Bionovo,0.012081081,https://en.wikipedia.org/wiki/Bionovo
76,Biotecnol,0.006756757,https://en.wikipedia.org/wiki/Biotecnol
77,Biovail,0.026783784,https://en.wikipedia.org/wiki/Biovail
78,Bioverativ,0.003405405,https://en.wikipedia.org/wiki/Bioverativ
79,Biovest,0.006756757,https://en.wikipedia.org/wiki/Biovest
80,Biovista,0.017972973,https://en.wikipedia.org/wiki/Biovista
81,Bluepharma,0.004378378,https://en.wikipedia.org/wiki/Bluepharma
82,Boehringer Ingelheim,0.003648649,https://en.wikipedia.org/wiki/Boehringer_Ingelheim
83,Boehringer Mannheim,0.008972973,https://en.wikipedia.org/wiki/Roche_Diagnostics
84,Bosnalijek,0.010216216,https://en.wikipedia.org/wiki/Bosnalijek
85,Bristol-Myers Squibb,0.031378378,https://en.wikipedia.org/wiki/Bristol_Myers_Squibb
86,Buchler (Company),0.046297297,https://en.wikipedia.org/wiki/List_of_pharmaceutical_companies
87,CSL Behring,0.000648649,https://en.wikipedia.org/wiki/CSL_Behring
88,CSL Limited,0.003891892,https://en.wikipedia.org/wiki/CSL_Limited
89,Cadila Healthcare,0.001810811,https://en.wikipedia.org/wiki/Cadila_Healthcare
90,Cadila Pharmaceuticals,0.005378378,https://en.wikipedia.org/wiki/Cadila_Pharmaceuticals
91,Cambridge Antibody Technology,0.048297297,https://en.wikipedia.org/wiki/Cambridge_Antibody_Technology
92,Canadian Plasma Resources,0.015891892,https://en.wikipedia.org/wiki/Canadian_Plasma_Resources
93,Cangene,0.008540541,https://en.wikipedia.org/wiki/Candee
94,Capsugel,0,https://en.wikipedia.org/wiki/Capsugel
95,CareFusion,0.031297297,https://en.wikipedia.org/wiki/CareFusion
96,Catabasis Pharmaceuticals,0.008162162,https://en.wikipedia.org/wiki/Catabasis_Pharmaceuticals
97,Catalent,0.002027027,https://en.wikipedia.org/wiki/Catalent
98,Cathay Drug,0.010216216,https://en.wikipedia.org/wiki/Cathay_Drug
99,Celgene,0.068972973,https://en.wikipedia.org/wiki/Celgene
100,Celltech,0.066486486,https://en.wikipedia.org/wiki/Celltech
101,Century Pharmaceuticals,0.035189189,https://en.wikipedia.org/wiki/Century_Pharmaceuticals
102,Cephalon,0.010756757,https://en.wikipedia.org/wiki/Cephalonia
103,Ceragenix Pharmaceuticals,0.022513514,https://en.wikipedia.org/wiki/Ceragenix_Pharmaceuticals
104,Chemidex,0.005405405,https://en.wikipedia.org/wiki/Chemidex
105,Chiesi Farmaceutici S.p.A.,0,https://en.wikipedia.org/wiki/Chiesi_Farmaceutici
106,Chiron Corporation,0.015162162,https://en.wikipedia.org/wiki/Chiron_Corporation
107,Chugai Pharmaceutical Co.,0.123972973,https://en.wikipedia.org/wiki/Chugai_Pharmaceutical_Co.
108,CinnaGen,0.048594595,https://en.wikipedia.org/wiki/Cinnagen
109,Cipla,0.077027027,https://en.wikipedia.org/wiki/Cipla
110,Clinical research associate,0.014243243,https://en.wikipedia.org/wiki/Clinical_research_associate
111,Clovis Oncology,0.003648649,https://en.wikipedia.org/wiki/Clovis_Oncology
112,CoCo Therapeutics,0.019108108,https://en.wikipedia.org/wiki/CoCo_Therapeutics
113,CoTherix,0.050081081,https://en.wikipedia.org/wiki/Actelion
114,Contract research organization,0.039027027,https://en.wikipedia.org/wiki/Contract_research_organization
115,Cubist Pharmaceuticals,0.005108108,https://en.wikipedia.org/wiki/Cubist_Pharmaceuticals
116,CureVac,0.001594595,https://en.wikipedia.org/wiki/CureVac
117,Cymbal manufacturers,0.010540541,https://en.wikipedia.org/wiki/Cymbal_manufacturers
118,Cynapsus Therapeutics,0.059324324,https://en.wikipedia.org/wiki/Cynapsus_Therapeutics
119,CytRx,0.019108108,https://en.wikipedia.org/wiki/CytRx
120,Dabur,0.016756757,https://en.wikipedia.org/wiki/Dauber
121,Daiichi Sankyo,0,https://en.wikipedia.org/wiki/Daiichi_Sankyo
122,Dawakhana Shifaul Amraz,0.007783784,https://en.wikipedia.org/wiki/Dawakhana_Shifaul_Amraz
123,Debiopharm,0.003108108,https://en.wikipedia.org/wiki/Debiopharm
124,Dentsply Sirona,0.007378378,https://en.wikipedia.org/wiki/Dentsply_Sirona
125,Deurali-Janta Pharmaceuticals,0.002918919,https://en.wikipedia.org/wiki/Deurali-Janta_Pharmaceuticals
126,Diabetology Ltd,0.013513514,https://en.wikipedia.org/wiki/Diabetology_Ltd
127,Diffusion Pharmaceuticals,0.004027027,https://en.wikipedia.org/wiki/Diffusion_Pharmaceuticals
128,Dr. Reddy's Laboratories,0.065702703,https://en.wikipedia.org/wiki/Dr._Reddy%27s_Laboratories
129,Drug rep,0.040945946,https://en.wikipedia.org/wiki/Pharmaceutical_sales_representative
130,Ego Pharmaceuticals,0.005756757,https://en.wikipedia.org/wiki/Ego_Pharmaceuticals
131,Eisai (company),0,https://en.wikipedia.org/wiki/Eisai_(company)
132,Elder Pharmaceuticals,0.035675676,https://en.wikipedia.org/wiki/Elder_Pharmaceuticals
133,Eli Lilly and Company,0.044594595,https://en.wikipedia.org/wiki/Eli_Lilly_and_Company
134,Emcure Pharmaceuticals,0.014945946,https://en.wikipedia.org/wiki/Emcure_Pharmaceuticals
135,Emergent BioSolutions,0.035918919,https://en.wikipedia.org/wiki/Emergent_BioSolutions
136,Endo International plc,0.02627027,https://en.wikipedia.org/wiki/Endo_International
137,Eskayef Pharmaceuticals Ltd.,0.036405405,https://en.wikipedia.org/wiki/Eskayef_Pharmaceuticals_Ltd.
138,Esteve,0.005513514,https://en.wikipedia.org/wiki/Esteve
139,Fabre-Kramer Pharmaceuticals,0.032135135,https://en.wikipedia.org/wiki/Fabre-Kramer_Pharmaceuticals
140,Fareva,0.005405405,https://en.wikipedia.org/wiki/Fareva
141,Faron Pharmaceuticals,0.005297297,https://en.wikipedia.org/wiki/Faron_Pharmaceuticals
142,Ferring Pharmaceuticals,0.057027027,https://en.wikipedia.org/wiki/Ferring_Pharmaceuticals
143,Food and Drug Administration,0.001810811,https://en.wikipedia.org/wiki/Food_and_Drug_Administration
144,Forest Laboratories,0,https://en.wikipedia.org/wiki/Forest_Laboratories
145,Fortress Biotech,0.010216216,https://en.wikipedia.org/wiki/Fortress_Biotech
146,Fresenius,0,https://en.wikipedia.org/wiki/Fresenius_(company)
147,"G.D. Searle, LLC",0.001405405,"https://en.wikipedia.org/wiki/G.D._Searle,_LLC"
148,G.F. Harvey Company,0.006189189,https://en.wikipedia.org/wiki/G.F._Harvey_Company
149,GPC Biotech,0.00972973,https://en.wikipedia.org/wiki/GPC_Biotech
150,Galderma,0.084405405,https://en.wikipedia.org/wiki/Galderma
151,Gedeon Richter (company),0.030837838,https://en.wikipedia.org/wiki/Gedeon_Richter_(company)
152,General Pharma,0.013918919,https://en.wikipedia.org/wiki/General_Pharma
153,Genmab,0.017945946,https://en.wikipedia.org/wiki/Genmab
154,Gilead Sciences,0.005,https://en.wikipedia.org/wiki/Gilead_Sciences
155,Glatt group,0.002945946,https://en.wikipedia.org/wiki/Glatt_group
156,GlaxoSmithKline,0.000810811,https://en.wikipedia.org/wiki/GlaxoSmithKline
157,Glenmark Pharmaceuticals,0.002081081,https://en.wikipedia.org/wiki/Glenmark_Pharmaceuticals
158,Grifols,0.014567568,https://en.wikipedia.org/wiki/Grifols
159,Grindeks,0.07472973,https://en.wikipedia.org/wiki/Grindeks
160,Grünenthal,0.001378378,https://en.wikipedia.org/wiki/Gr%C3%BCnenthal
161,Help Remedies,0.019108108,https://en.wikipedia.org/wiki/Help_Remedies
162,Hemispherx Biopharma,0.003648649,https://en.wikipedia.org/wiki/AIM_ImmunoTech
163,Hetero Drugs,0.006972973,https://en.wikipedia.org/wiki/Hetero_Drugs
164,Hikma Pharmaceuticals,0.063648649,https://en.wikipedia.org/wiki/Hikma_Pharmaceuticals
165,Hoechst AG,0.041108108,https://en.wikipedia.org/wiki/Hoechst_AG
166,Hoffmann–La Roche,0.061432432,https://en.wikipedia.org/wiki/Hoffmann-La_Roche
167,Horizon Therapeutics,0.011135135,https://en.wikipedia.org/wiki/Horizon_Therapeutics
168,Hospira,0.001297297,https://en.wikipedia.org/wiki/Hospira
169,Hovione,0.003243243,https://en.wikipedia.org/wiki/Hovione
170,Huadong Medicine,0.019108108,https://en.wikipedia.org/wiki/Huadong_Medicine
171,Human Genome Sciences,0.02872973,https://en.wikipedia.org/wiki/Human_Genome_Sciences
172,ITH Pharma,0.061621622,https://en.wikipedia.org/wiki/ITH_Pharma
173,Incepta Pharmaceuticals,0.003108108,https://en.wikipedia.org/wiki/Incepta_Pharmaceuticals
174,Incyte,0.017648649,https://en.wikipedia.org/wiki/Incyte
175,Institute for OneWorld Health,0.017432432,https://en.wikipedia.org/wiki/PATH_(global_health_organization)
176,Intas Biopharmaceuticals,0.017972973,https://en.wikipedia.org/wiki/Intas_Biopharmaceuticals
177,Intellia Therapeutics,0.005756757,https://en.wikipedia.org/wiki/Intellia_Therapeutics
178,Ionis Pharmaceuticals,0.025297297,https://en.wikipedia.org/wiki/Ionis_Pharmaceuticals
179,Ipca Laboratories,0.006054054,https://en.wikipedia.org/wiki/Ipca_Laboratories
180,Ipsen,0,https://en.wikipedia.org/wiki/Henrik_Ibsen
181,JN-International Medical Corporation,0.019567568,https://en.wikipedia.org/wiki/JN-International_Medical_Corporation
182,Janssen Pharmaceutica,0,https://en.wikipedia.org/wiki/Janssen_Pharmaceuticals
183,Jazz Pharmaceuticals,0.040864865,https://en.wikipedia.org/wiki/Jazz_Pharmaceuticals
184,Jenapharm,0.005027027,https://en.wikipedia.org/wiki/Jenapharm
185,Johnson & Johnson,0.006108108,https://en.wikipedia.org/wiki/Johnson_%26_Johnson
186,Julphar,0.067324324,https://en.wikipedia.org/wiki/Julphar
187,Juno Therapeutics,0.013567568,https://en.wikipedia.org/wiki/Juno_Therapeutics
188,Kimia Farma,0.030189189,https://en.wikipedia.org/wiki/Kimia_Farma
189,King Pharmaceuticals,0.053594595,https://en.wikipedia.org/wiki/King_Pharmaceuticals
190,Kite Pharma,0.005621622,https://en.wikipedia.org/wiki/Kite_Pharma
191,Knoll Pharmaceuticals,0.002702703,https://en.wikipedia.org/wiki/Knoll_Pharmaceuticals
192,Kyowa Hakko Kirin,0.056837838,https://en.wikipedia.org/wiki/Kyowa_Hakko_Kirin
193,Laboratoires Pierre Fabre,0.029486486,https://en.wikipedia.org/wiki/Laboratoires_Pierre_Fabre
194,Laboratoires Servier,0.001648649,https://en.wikipedia.org/wiki/Laboratoires_Servier
195,Leo Pharma,0.005297297,https://en.wikipedia.org/wiki/Leo_Pharma
196,List of CIGS companies,0.047243243,https://en.wikipedia.org/wiki/List_of_CIGS_companies
197,List of Champagne houses,0.024918919,https://en.wikipedia.org/wiki/List_of_Champagne_houses
198,List of EDA companies,0.013027027,https://en.wikipedia.org/wiki/List_of_EDA_companies
199,List of advertising technology companies,0,https://en.wikipedia.org/wiki/List_of_advertising_technology_companies
200,List of aerial lift manufacturers,0.050621622,https://en.wikipedia.org/wiki/List_of_aerial_lift_manufacturers
201,List of aircraft manufacturers,0.014081081,https://en.wikipedia.org/wiki/List_of_aircraft_manufacturers
202,List of airline holding companies,0.028297297,https://en.wikipedia.org/wiki/List_of_airline_holding_companies
203,List of animation studios,0.012108108,https://en.wikipedia.org/wiki/List_of_animation_studios
204,List of anime companies,0.007837838,https://en.wikipedia.org/wiki/List_of_anime_companies
205,List of asset management firms,0.020918919,https://en.wikipedia.org/wiki/List_of_asset_management_firms
206,List of astronomical instrument makers,0.00972973,https://en.wikipedia.org/wiki/List_of_astronomical_instrument_makers
207,List of automation integrator companies,0.032459459,https://en.wikipedia.org/wiki/Automation_integrator
208,List of automobile manufacturers,0.01272973,https://en.wikipedia.org/wiki/List_of_automobile_manufacturers
209,List of bean-to-bar chocolate manufacturers,0,https://en.wikipedia.org/wiki/List_of_bean-to-bar_chocolate_manufacturers
210,List of bicycle brands and manufacturing companies,0.026459459,https://en.wikipedia.org/wiki/List_of_bicycle_brands_and_manufacturing_companies
211,List of book sales clubs,0.002378378,https://en.wikipedia.org/wiki/List_of_book_sales_clubs
212,List of bookstore chains,0.008243243,https://en.wikipedia.org/wiki/List_of_bookstore_chains
213,List of bus operating companies,0.003297297,https://en.wikipedia.org/wiki/List_of_bus_operating_companies
214,List of cable television companies,0.016567568,https://en.wikipedia.org/wiki/List_of_cable_television_companies
215,List of casinos,0.010135135,https://en.wikipedia.org/wiki/List_of_casinos
216,List of casual dining restaurant chains,0.024162162,https://en.wikipedia.org/wiki/List_of_casual_dining_restaurant_chains
217,List of chained-brand hotels,0.006702703,https://en.wikipedia.org/wiki/List_of_chained-brand_hotels
218,List of charter airlines,0.019594595,https://en.wikipedia.org/wiki/List_of_charter_airlines
219,List of cheesemakers,0.011243243,https://en.wikipedia.org/wiki/List_of_cheesemakers
220,List of coffee companies,0.014432432,https://en.wikipedia.org/wiki/List_of_coffee_companies
221,List of coffeehouse chains,0.008297297,https://en.wikipedia.org/wiki/List_of_coffeehouse_chains
222,List of computer hardware manufacturers,0.003,https://en.wikipedia.org/wiki/List_of_computer_hardware_manufacturers
223,List of computer system manufacturers,0.006432432,https://en.wikipedia.org/wiki/List_of_computer_system_manufacturers
224,List of concentrating solar thermal power companies,0.00672973,https://en.wikipedia.org/wiki/List_of_concentrating_solar_thermal_power_companies
225,List of construction equipment rental companies,0.005486486,https://en.wikipedia.org/wiki/Equipment_rental
226,List of convenience stores,0.055324324,https://en.wikipedia.org/wiki/List_of_convenience_stores
227,List of cruise lines,0.004351351,https://en.wikipedia.org/wiki/List_of_cruise_lines
228,List of defunct airlines,0.007162162,https://en.wikipedia.org/wiki/List_of_defunct_airlines
229,List of department stores by country,0.00272973,https://en.wikipedia.org/wiki/List_of_department_stores_by_country
230,List of disc golf brands and manufacturers,0.010702703,https://en.wikipedia.org/wiki/List_of_disc_golf_brands_and_manufacturers
231,List of drugs,0.006135135,https://en.wikipedia.org/wiki/List_of_drugs
232,List of dump truck manufacturers,0.002918919,https://en.wikipedia.org/wiki/List_of_dump_truck_manufacturers
233,List of electric-vehicle-battery manufacturers,0.013540541,https://en.wikipedia.org/wiki/List_of_electric-vehicle-battery_manufacturers
234,List of electronics brands,0.072054054,https://en.wikipedia.org/wiki/List_of_electronics_brands
235,List of enterprise search vendors,0.015054054,https://en.wikipedia.org/wiki/List_of_enterprise_search_vendors
236,List of fast food restaurant chains,0.003972973,https://en.wikipedia.org/wiki/List_of_fast_food_restaurant_chains
237,List of ferry operators,0.029594595,https://en.wikipedia.org/wiki/List_of_ferry_operators
238,List of film production companies,0.015891892,https://en.wikipedia.org/wiki/List_of_film_production_companies
239,List of fitness wear brands,0.027027027,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands
240,List of flash memory controller manufacturers,0.012972973,https://en.wikipedia.org/wiki/List_of_flash_memory_controller_manufacturers
241,List of food companies,0.065216216,https://en.wikipedia.org/wiki/List_of_food_companies
242,List of freight ship companies,0.094243243,https://en.wikipedia.org/wiki/List_of_freight_ship_companies
243,List of game manufacturers,0.009675676,https://en.wikipedia.org/wiki/List_of_game_manufacturers
244,List of golf equipment manufacturers,0.034972973,https://en.wikipedia.org/wiki/List_of_golf_equipment_manufacturers
245,List of health club chains,0.015945946,https://en.wikipedia.org/wiki/List_of_health_club_chains
246,List of horn makers,0.005027027,https://en.wikipedia.org/wiki/List_of_horn_makers
247,List of hypermarkets,0.003162162,https://en.wikipedia.org/wiki/List_of_hypermarkets
248,List of ice cream parlor chains,0.017027027,https://en.wikipedia.org/wiki/List_of_ice_cream_parlor_chains
249,List of independent bookstores,0.022783784,https://en.wikipedia.org/wiki/List_of_independent_bookstores
250,List of international auto shipping companies,0.027027027,https://en.wikipedia.org/wiki/List_of_international_auto_shipping_companies
251,List of international banking institutions,0.042054054,https://en.wikipedia.org/wiki/List_of_international_banking_institutions
252,List of investment banks,0.012054054,https://en.wikipedia.org/wiki/List_of_investment_banks
253,List of largest biotechnology & pharmaceutical companies,0.166513514,https://en.wikipedia.org/wiki/List_of_largest_biotechnology_and_pharmaceutical_companies
254,List of largest biotechnology and pharmaceutical companies,0.166513514,https://en.wikipedia.org/wiki/List_of_largest_biotechnology_and_pharmaceutical_companies
255,List of largest chemical producers,0.006972973,https://en.wikipedia.org/wiki/List_of_largest_chemical_producers
256,List of largest law firms by profits per partner,0.007,https://en.wikipedia.org/wiki/List_of_largest_law_firms_by_profits_per_partner
257,List of largest oil and gas companies by revenue,0.018621622,https://en.wikipedia.org/wiki/List_of_largest_oil_and_gas_companies_by_revenue
258,List of largest pharmaceutical settlements,0.106756757,https://en.wikipedia.org/wiki/List_of_largest_pharmaceutical_settlements
259,List of lingerie brands,0.016324324,https://en.wikipedia.org/wiki/List_of_lingerie_brands
260,List of locomotive builders,0.054054054,https://en.wikipedia.org/wiki/List_of_locomotive_builders
261,List of low-cost airlines,0.00727027,https://en.wikipedia.org/wiki/List_of_low-cost_airlines
262,List of management consulting firms,0.006189189,https://en.wikipedia.org/wiki/List_of_management_consulting_firms
263,List of marketing research firms,0.052918919,https://en.wikipedia.org/wiki/List_of_marketing_research_firms
264,List of microphone manufacturers,0.022054054,https://en.wikipedia.org/wiki/List_of_microphone_manufacturers
265,List of modern armament manufacturers,0.005108108,https://en.wikipedia.org/wiki/List_of_modern_armament_manufacturers
266,List of motorcycle manufacturers,0.015162162,https://en.wikipedia.org/wiki/List_of_motorcycle_manufacturers
267,List of mountaineering equipment brands,0.029405405,https://en.wikipedia.org/wiki/List_of_mountaineering_equipment_brands
268,List of off-label promotion pharmaceutical settlements,0.047972973,https://en.wikipedia.org/wiki/List_of_off-label_promotion_pharmaceutical_settlements
269,List of oil exploration and production companies,0.020432432,https://en.wikipedia.org/wiki/List_of_oil_exploration_and_production_companies
270,List of oilfield service companies,0.010378378,https://en.wikipedia.org/wiki/List_of_oilfield_service_companies
271,List of passenger airlines,0.007594595,https://en.wikipedia.org/wiki/List_of_passenger_airlines
272,List of passenger ship companies,0.031351351,https://en.wikipedia.org/wiki/List_of_passenger_ship_companies
273,List of pharmaceutical manufacturers in the United Kingdom,0.039459459,https://en.wikipedia.org/wiki/List_of_pharmaceutical_manufacturers_in_the_United_Kingdom
274,List of pharmacies,0.083459459,https://en.wikipedia.org/wiki/List_of_pharmacies
275,List of photovoltaics companies,0.006567568,https://en.wikipedia.org/wiki/List_of_photovoltaics_companies
276,List of pizza chains,0.016837838,https://en.wikipedia.org/wiki/List_of_pizza_chains
277,List of pornography companies,0.006972973,https://en.wikipedia.org/wiki/List_of_pornography_companies
278,List of private equity firms,0.022351351,https://en.wikipedia.org/wiki/List_of_private-equity_firms
279,List of public utilities,0.067486486,https://en.wikipedia.org/wiki/List_of_public_utilities
280,List of publishers of children's books,0.00627027,https://en.wikipedia.org/wiki/List_of_publishers_of_children%27s_books
281,List of radio-controlled model aircraft kit manufacturers,0,https://en.wikipedia.org/wiki/List_of_radio-controlled_model_aircraft_kit_manufacturers
282,List of railway companies,0.041162162,https://en.wikipedia.org/wiki/List_of_railway_companies
283,List of regional airlines,0.013378378,https://en.wikipedia.org/wiki/List_of_regional_airlines
284,List of restaurant chains,0.024081081,https://en.wikipedia.org/wiki/List_of_restaurant_chains
285,List of retailers' cooperatives,0.042108108,https://en.wikipedia.org/wiki/List_of_retailers%27_cooperatives
286,List of revolving restaurants,0.003459459,https://en.wikipedia.org/wiki/List_of_revolving_restaurants
287,List of rolling stock manufacturers,0.023243243,https://en.wikipedia.org/wiki/List_of_rolling_stock_manufacturers
288,List of scooter manufacturers,0.033108108,https://en.wikipedia.org/wiki/List_of_scooter_manufacturers
289,List of semiconductor IP core vendors,0.018540541,https://en.wikipedia.org/wiki/List_of_semiconductor_IP_core_vendors
290,List of ship companies,0,https://en.wikipedia.org/wiki/List_of_ship_companies
291,List of silicon producers,0.005675676,https://en.wikipedia.org/wiki/List_of_silicon_producers
292,List of skateboarding brands,0.019108108,https://en.wikipedia.org/wiki/List_of_skateboarding_brands
293,List of ski brands,0.027027027,https://en.wikipedia.org/wiki/List_of_ski_brands
294,List of soft drink producers,0.018972973,https://en.wikipedia.org/wiki/List_of_soft_drink_producers
295,List of solid-state drive manufacturers,0.018837838,https://en.wikipedia.org/wiki/List_of_solid-state_drive_manufacturers
296,List of sporting goods manufacturers,0.019108108,https://en.wikipedia.org/wiki/List_of_sporting_goods_manufacturers
297,List of steel producers,0.003891892,https://en.wikipedia.org/wiki/List_of_steel_producers
298,List of stock exchanges,0.034378378,https://en.wikipedia.org/wiki/List_of_stock_exchanges
299,List of stuffed toy manufacturers,0.063027027,https://en.wikipedia.org/wiki/List_of_stuffed_toy_manufacturers
300,List of supermarket chains,0.009567568,https://en.wikipedia.org/wiki/List_of_supermarket_chains
301,List of superstores,0.013918919,https://en.wikipedia.org/wiki/List_of_superstores
302,List of swimwear brands,0.027027027,https://en.wikipedia.org/wiki/List_of_swimwear_brands
303,List of tea companies,0.02627027,https://en.wikipedia.org/wiki/List_of_tea_companies
304,List of telephone operating companies,0.014162162,https://en.wikipedia.org/wiki/List_of_telephone_operating_companies
305,List of television networks by country,0.005594595,https://en.wikipedia.org/wiki/List_of_television_networks_by_country
306,List of the largest information technology companies,0.013540541,https://en.wikipedia.org/wiki/List_of_largest_technology_companies_by_revenue
